+--------------------------------------------------------------------+------------------------+---------------------+------------------------------------+
|  myInstance-CREATE_IN_PROGRESS-2025-02-07T07:44:34.259Z            |  myInstance            |  CREATE_IN_PROGRESS |  2025-02-07T07:44:34.259000+00:00  |
|  InstanceSecurityGroup-CREATE_COMPLETE-2025-02-07T07:44:33.930Z    |  InstanceSecurityGroup |  CREATE_COMPLETE    |  2025-02-07T07:44:33.930000+00:00  |
|  mySubnet-CREATE_COMPLETE-2025-02-07T07:44:29.638Z                 |  mySubnet              |  CREATE_COMPLETE    |  2025-02-07T07:44:29.638000+00:00  |
|  InstanceSecurityGroup-CREATE_IN_PROGRESS-2025-02-07T07:44:27.991Z |  InstanceSecurityGroup |  CREATE_IN_PROGRESS |  2025-02-07T07:44:27.991000+00:00  |
|  mySubnet-CREATE_IN_PROGRESS-2025-02-07T07:44:26.656Z              |  mySubnet              |  CREATE_IN_PROGRESS |  2025-02-07T07:44:26.656000+00:00  |
|  mySubnet-CREATE_IN_PROGRESS-2025-02-07T07:44:25.799Z              |  mySubnet              |  CREATE_IN_PROGRESS |  2025-02-07T07:44:25.799000+00:00  |
|  InstanceSecurityGroup-CREATE_IN_PROGRESS-2025-02-07T07:44:25.789Z |  InstanceSecurityGroup |  CREATE_IN_PROGRESS |  2025-02-07T07:44:25.789000+00:00  |
|  myVPC-CREATE_COMPLETE-2025-02-07T07:44:25.415Z                    |  myVPC                 |  CREATE_COMPLETE    |  2025-02-07T07:44:25.415000+00:00  |
|  NewKeyPair-CREATE_COMPLETE-2025-02-07T07:44:14.396Z               |  NewKeyPair            |  CREATE_COMPLETE    |  2025-02-07T07:44:14.396000+00:00  |
|  myVPC-CREATE_IN_PROGRESS-2025-02-07T07:44:14.217Z                 |  myVPC                 |  CREATE_IN_PROGRESS |  2025-02-07T07:44:14.217000+00:00  |
|  NewKeyPair-CREATE_IN_PROGRESS-2025-02-07T07:44:13.871Z            |  NewKeyPair            |  CREATE_IN_PROGRESS |  2025-02-07T07:44:13.871000+00:00  |
|  myVPC-CREATE_IN_PROGRESS-2025-02-07T07:44:13.018Z                 |  myVPC                 |  CREATE_IN_PROGRESS |  2025-02-07T07:44:13.018000+00:00  |
|  NewKeyPair-CREATE_IN_PROGRESS-2025-02-07T07:44:13.018Z            |  NewKeyPair            |  CREATE_IN_PROGRESS |  2025-02-07T07:44:13.018000+00:00  |
|  51c428f0-e527-11ef-80d4-0685e1d5018b                              |  MyVPCStack            |  CREATE_IN_PROGRESS |  2025-02-07T07:44:11.033000+00:00  |
